"","stid","nlat","elon","elev"
"1","ACME",34.80833,261.97675,397
"2","ADAX",34.79851,263.33091,295
"3","ALTU",34.58722,260.66192,416
"4","APAC",34.91418,261.70784,440
"5","ARNE",36.07204,260.09692,719
"6","BEAV",36.80253,259.46988,758
"7","BESS",35.40185,260.94153,511
"8","BIXB",35.96305,264.13379,184
"9","BLAC",36.75443,262.74548,304
"10","BOIS",36.69256,257.50287,1267
"11","BOWL",35.17156,263.36879,281
"12","BREC",36.41201,262.30606,352
"13","BRIS",35.7805,263.64596,239
"14","BUFF",36.83129,260.35899,559
"15","BURB",36.63459,263.18954,301
"16","BURN",33.89376,262.73082,228
"17","BUTL",35.5915,260.72941,520
"18","BYAR",34.8497,262.9967,345
"19","CAMA",36.02866,260.65348,589
"20","CENT",34.60896,263.66691,208
"21","CHAN",35.65282,263.19593,291
"22","CHER",36.74813,261.63726,362
"23","CHEY",35.54615,260.2721,694
"24","CHIC",35.03236,262.08554,328
"25","CLAY",34.65657,264.67404,186
"26","CLOU",34.22321,264.7513,221
"27","COOK",35.68001,265.15104,299
"28","COPA",36.90987,264.11447,250
"29","DURA",33.92075,263.67973,197
"30","ELRE",35.54848,261.96346,419
"31","ERIC",35.20494,260.19656,603
"32","EUFA",35.30324,264.34293,200
"33","FAIR",36.26353,261.50234,405
"34","FORA",36.84053,263.57223,330
"35","FREE",36.72562,260.85766,530
"36","FTCB",35.14887,261.53393,422
"37","GOOD",36.60183,258.3987,997
"38","GUTH",35.84891,262.52022,330
"39","HASK",35.74798,264.35953,183
"40","HINT",35.48439,261.51849,493
"41","HOBA",34.98971,260.94717,478
"42","HOLL",34.6855,260.16669,497
"43","HOOK",36.85518,258.77453,912
"44","HUGO",34.03084,264.45989,175
"45","IDAB",33.83013,265.1197,110
"46","JAYX",36.4821,265.21713,304
"47","KENT",36.82937,257.1218,1322
"48","KETC",34.52887,262.23516,341
"49","LAHO",36.38435,261.88861,396
"50","LANE",34.30876,264.00284,181
"51","MADI",34.03579,263.05606,232
"52","MANG",34.83592,260.57602,460
"53","MARE",36.06434,262.78729,327
"54","MAYR",36.98707,260.98891,555
"55","MCAL",34.88231,264.21904,230
"56","MEDF",36.79242,262.25423,332
"57","MEDI",34.72921,261.43064,487
"58","MIAM",36.88832,265.15563,247
"59","MINC",35.27225,262.04447,430
"60","MTHE",34.31072,265.17725,284
"61","NEWK",36.8981,263.08965,366
"62","NINN",34.96774,262.04798,356
"63","NOWA",36.74374,264.39205,206
"64","OILT",36.03126,263.50251,255
"65","OKEM",35.43172,263.73735,263
"66","OKMU",35.58211,264.08527,205
"67","PAUL",34.7155,262.77076,291
"68","PAWN",36.36114,263.23014,283
"69","PERK",35.99865,262.95169,292
"70","PRYO",36.36914,264.72862,201
"71","PUTN",35.89904,261.03962,589
"72","REDR",36.3559,262.84694,293
"73","RETR",35.12275,260.63999,538
"74","RING",34.19365,262.41188,283
"75","SALL",35.43815,265.20195,157
"76","SEIL",36.19033,260.9597,545
"77","SHAW",35.36492,263.05178,328
"78","SKIA",36.4153,263.96294,282
"79","SLAP",36.59749,259.73808,774
"80","SPEN",35.54208,262.65854,373
"81","STIG",35.26527,264.81884,173
"82","STIL",36.12093,262.90473,272
"83","STUA",34.87642,263.93018,256
"84","SULP",34.5661,263.04952,320
"85","TAHL",35.97235,265.01329,290
"86","TALI",34.7107,264.98848,204
"87","TIPT",34.43972,260.86245,387
"88","TISH",34.33262,263.32105,268
"89","VINI",36.77536,264.77906,236
"90","WASH",34.98224,262.47891,345
"91","WATO",35.84185,261.47385,517
"92","WAUR",34.16775,262.01185,283
"93","WEAT",35.5083,261.22491,538
"94","WEST",36.011,265.35504,348
"95","WILB",34.90092,264.65195,199
"96","WIST",34.98426,265.31222,143
"97","WOOD",36.42329,260.58318,625
"98","WYNO",36.51806,263.65778,269
